signature_id,split,expected_class,predicted_class,model,mean_coverage,aggregate_effect,aggregate_p,direction_consistency,i_squared,loo_stability,max_confounder_effect,null_separation_p,platform_holdout_consistency,within_d,within_p
hallmark_emt,primary,durable,mixed,full_model,0.9222222222222223,0.3294140963101447,0.0,0.8666666666666667,0.8794486448288246,1.0,0.0,0.03,1.0,2.5077929432073884,0.00019705631130384482
hallmark_emt,primary,durable,durable,overlap_only,0.9222222222222223,0.3294140963101447,0.0,0.8666666666666667,0.8794486448288246,1.0,0.0,0.03,1.0,2.5077929432073884,0.00019705631130384482
hallmark_emt,primary,durable,durable,effect_only,0.9222222222222223,0.3294140963101447,0.0,0.8666666666666667,0.8794486448288246,1.0,0.0,0.03,1.0,2.5077929432073884,0.00019705631130384482
hallmark_emt,primary,durable,mixed,null_aware,0.9222222222222223,0.3294140963101447,0.0,0.8666666666666667,0.8794486448288246,1.0,0.0,0.03,1.0,2.5077929432073884,0.00019705631130384482
hallmark_emt,primary,durable,mixed,no_confounder,0.9222222222222223,0.3294140963101447,0.0,0.8666666666666667,0.8794486448288246,1.0,0.0,0.03,1.0,2.5077929432073884,0.00019705631130384482
hallmark_emt,primary,durable,durable,within_program,0.9222222222222223,0.3294140963101447,0.0,0.8666666666666667,0.8794486448288246,1.0,0.0,0.03,1.0,2.5077929432073884,0.00019705631130384482
hallmark_tnfa_nfkb,primary,durable,confounded,full_model,0.9533333333333331,0.08693816821789957,0.010997819349778837,0.6333333333333333,0.9136454999636668,1.0,0.20849611608127777,0.62,1.0,0.5431388135648045,0.009501748795416987
hallmark_tnfa_nfkb,primary,durable,durable,overlap_only,0.9533333333333331,0.08693816821789957,0.010997819349778837,0.6333333333333333,0.9136454999636668,1.0,0.20849611608127777,0.62,1.0,0.5431388135648045,0.009501748795416987
hallmark_tnfa_nfkb,primary,durable,durable,effect_only,0.9533333333333331,0.08693816821789957,0.010997819349778837,0.6333333333333333,0.9136454999636668,1.0,0.20849611608127777,0.62,1.0,0.5431388135648045,0.009501748795416987
hallmark_tnfa_nfkb,primary,durable,brittle,null_aware,0.9533333333333331,0.08693816821789957,0.010997819349778837,0.6333333333333333,0.9136454999636668,1.0,0.20849611608127777,0.62,1.0,0.5431388135648045,0.009501748795416987
hallmark_tnfa_nfkb,primary,durable,mixed,no_confounder,0.9533333333333331,0.08693816821789957,0.010997819349778837,0.6333333333333333,0.9136454999636668,1.0,0.20849611608127777,0.62,1.0,0.5431388135648045,0.009501748795416987
hallmark_tnfa_nfkb,primary,durable,confounded,within_program,0.9533333333333331,0.08693816821789957,0.010997819349778837,0.6333333333333333,0.9136454999636668,1.0,0.20849611608127777,0.62,1.0,0.5431388135648045,0.009501748795416987
curated_senescence,primary,durable,confounded,full_model,0.9483333333333331,0.17786209785502463,1.6692705218090964e-07,0.7,0.8751847470253298,1.0,0.18002041888216655,0.265,1.0,,
curated_senescence,primary,durable,durable,overlap_only,0.9483333333333331,0.17786209785502463,1.6692705218090964e-07,0.7,0.8751847470253298,1.0,0.18002041888216655,0.265,1.0,,
curated_senescence,primary,durable,durable,effect_only,0.9483333333333331,0.17786209785502463,1.6692705218090964e-07,0.7,0.8751847470253298,1.0,0.18002041888216655,0.265,1.0,,
curated_senescence,primary,durable,brittle,null_aware,0.9483333333333331,0.17786209785502463,1.6692705218090964e-07,0.7,0.8751847470253298,1.0,0.18002041888216655,0.265,1.0,,
curated_senescence,primary,durable,mixed,no_confounder,0.9483333333333331,0.17786209785502463,1.6692705218090964e-07,0.7,0.8751847470253298,1.0,0.18002041888216655,0.265,1.0,,
curated_senescence,primary,durable,confounded,within_program,0.9483333333333331,0.17786209785502463,1.6692705218090964e-07,0.7,0.8751847470253298,1.0,0.18002041888216655,0.265,1.0,,
brittle_small_study_inflammation,primary,brittle,confounded,full_model,0.9349999999999999,0.0829134368659232,0.015550085480916742,0.7,0.9237134806766968,1.0,0.1787109566410953,0.565,1.0,0.6110908157093711,0.030558822233799354
brittle_small_study_inflammation,primary,brittle,durable,overlap_only,0.9349999999999999,0.0829134368659232,0.015550085480916742,0.7,0.9237134806766968,1.0,0.1787109566410953,0.565,1.0,0.6110908157093711,0.030558822233799354
brittle_small_study_inflammation,primary,brittle,durable,effect_only,0.9349999999999999,0.0829134368659232,0.015550085480916742,0.7,0.9237134806766968,1.0,0.1787109566410953,0.565,1.0,0.6110908157093711,0.030558822233799354
brittle_small_study_inflammation,primary,brittle,brittle,null_aware,0.9349999999999999,0.0829134368659232,0.015550085480916742,0.7,0.9237134806766968,1.0,0.1787109566410953,0.565,1.0,0.6110908157093711,0.030558822233799354
brittle_small_study_inflammation,primary,brittle,mixed,no_confounder,0.9349999999999999,0.0829134368659232,0.015550085480916742,0.7,0.9237134806766968,1.0,0.1787109566410953,0.565,1.0,0.6110908157093711,0.030558822233799354
brittle_small_study_inflammation,primary,brittle,confounded,within_program,0.9349999999999999,0.0829134368659232,0.015550085480916742,0.7,0.9237134806766968,1.0,0.1787109566410953,0.565,1.0,0.6110908157093711,0.030558822233799354
brittle_platform_specific,primary,brittle,insufficient_coverage,full_model,0.5000000000000001,-0.1793994373553273,1.7296488619145123e-07,0.5666666666666667,0.9309431963211985,1.0,0.3358806156135744,0.265,1.0,,
brittle_platform_specific,primary,brittle,insufficient_coverage,overlap_only,0.5000000000000001,-0.1793994373553273,1.7296488619145123e-07,0.5666666666666667,0.9309431963211985,1.0,0.3358806156135744,0.265,1.0,,
brittle_platform_specific,primary,brittle,insufficient_coverage,effect_only,0.5000000000000001,-0.1793994373553273,1.7296488619145123e-07,0.5666666666666667,0.9309431963211985,1.0,0.3358806156135744,0.265,1.0,,
brittle_platform_specific,primary,brittle,insufficient_coverage,null_aware,0.5000000000000001,-0.1793994373553273,1.7296488619145123e-07,0.5666666666666667,0.9309431963211985,1.0,0.3358806156135744,0.265,1.0,,
brittle_platform_specific,primary,brittle,insufficient_coverage,no_confounder,0.5000000000000001,-0.1793994373553273,1.7296488619145123e-07,0.5666666666666667,0.9309431963211985,1.0,0.3358806156135744,0.265,1.0,,
brittle_platform_specific,primary,brittle,insufficient_coverage,within_program,0.5000000000000001,-0.1793994373553273,1.7296488619145123e-07,0.5666666666666667,0.9309431963211985,1.0,0.3358806156135744,0.265,1.0,,
brittle_single_tissue,primary,brittle,confounded,full_model,0.9016666666666667,0.02729076576746156,0.4237202075254014,0.5666666666666667,0.9045614497967901,0.9,0.15549917705248237,0.845,0.6666666666666666,,
